[00] ID: 95c01e5cd27e53acb10e54c8984af2b1 | Cat: Gig Posters | Client: AntiSOCIAL | Sub:  | Title: Zynth Main | Strategy: High-contrast brutalist gig poster design created for premier nightlife venues.
[31] ID: 06348a38b87f895dbf08b9d76b8ef8a1 | Cat: Campaigns & Promos | Client: Metaraph | Sub: Metaraph | Title: Metaraph Mumbai Reel | Strategy: Editorial nightlife branding and promo collateral for Metaraph tour dates.
[32] ID: 9e240fc2849783fed0b77ad659f4cff1 | Cat: Campaigns & Promos | Client: Metaraph | Sub: Metaraph | Title: Metaraph Kolkata | Strategy: Editorial nightlife branding and promo collateral for Metaraph tour dates.
[33] ID: ec006d69c23cdd5f41d303daf46602ed | Cat: Campaigns & Promos | Client: Metaraph | Sub: Metaraph | Title: Metaraph | Strategy: Editorial nightlife branding and promo collateral for Metaraph tour dates.
[34] ID: 55c995e1762cd34b5a2b8eb61a02df18 | Cat: Gig Posters | Client: MaladSOCIAL | Sub:  | Title: Malad Desi Drip | Strategy: High-contrast brutalist gig poster design created for premier nightlife venues.
[35] ID: 766be5e9f3c97f1834cbb2c3180079ce | Cat: Event Calendars | Client: KharSOCIAL Calendar | Sub: Khar_Calendar_May | Title: Khar V1 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[36] ID: 5e902af4fd17e7b677b4400af47003c7 | Cat: Event Calendars | Client: KharSOCIAL Calendar | Sub: Khar_Calendar_June | Title: Khar | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[37] ID: db7c08e394ba682c6c82d31de7782efe | Cat: Event Calendars | Client: KharSOCIAL Calendar | Sub: Khar_Calendar_March25 | Title: Khar | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[38] ID: f3a4d96095983a4f7dbe2d5ec5912e62 | Cat: Event Calendars | Client: KharSOCIAL Calendar | Sub: Khar_Calendar_March25 | Title: Khar | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[39] ID: 0c87dc712069e87b628c7e19fe450d3b | Cat: Event Calendars | Client: KharSOCIAL Calendar | Sub: Khar_Calendar_May | Title: Khar | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[40] ID: fd42fe83cd328a823ecae5c690426a35 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 983 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[41] ID: a132b90951a1fc7bcb2b550232ab1cf4 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 880 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[42] ID: 05fea65c96922ee75201c440bcdcfdf2 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 811 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[43] ID: 31695a53b7e6f75dbbee8f7c2fdb7d8a | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 807 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[44] ID: 9a704e803a8cd04a295677bb559c8127 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 658 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[45] ID: e2ee2c55824624a745e8a6e8392afdc7 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 563 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[46] ID: e4feb65b80ea35dcb7129d47f664c4fc | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 536 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[47] ID: d09442fe6199c2d80a7ab20dd35ca17f | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 27 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[48] ID: 272ce08a761507d4f130bc12989ed672 | Cat: Campaigns & Promos | Client: Hospitality Group | Sub: Hospitality | Title: Image 237 | Strategy: Promotional visual assets and digital collateral for premium hospitality venues.
[49] ID: d47d4f14f10fca2c810f0a692e871d4a | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_Feb_DOP | Title: Dop6Th | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[50] ID: 741138dcb1b163011eb1a0417aa2a383 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_Feb_DOP | Title: Dop27Th | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[51] ID: 422fd766d49fc896ea46d9b4647c4b36 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_Feb_DOP | Title: Dop20Th | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[52] ID: 683a047133de4e40b78c5d02b411e06a | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_Feb_DOP | Title: Dop13Th | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[53] ID: bca30bc9945b199f488e7bce1f3bc027 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_Feb_DOP | Title: Dop V1 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[54] ID: f38527085e28967e00401cbbe4a47407 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 4 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[55] ID: 6a258cec065fe84312f9203017b46fd1 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 3 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[56] ID: 16783ffd9a97a68240af0d2a206a6df9 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 2 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[57] ID: 2b52a8b0db90239827d5551a621d49c5 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 1 V4 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[58] ID: 50ea2f8e1a050b8f51a833bd121b9829 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 1 V3 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[59] ID: 5c8008976dcac9f9f5845fe4cc397f93 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 1 V2 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[60] ID: 6302138b2bc7c2ca9c325f9432ae75a3 | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop 1 | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[61] ID: 55b4f9f6acbeaeb3d41166910d2e55ec | Cat: Campaigns & Promos | Client: DOP Series | Sub: 2025_April_DOP | Title: Dop | Strategy: Multi-week campaign covers, calendars, and story assets for DOP music experiences.
[62] ID: 3efe74a32cc682832ff47d43264f80bc | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: Cover April | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[63] ID: f1df667c0ba9f9be5efbd0d0dba14fbf | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: Cover | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[64] ID: 71aba23950bfdc5f722bc34cdb5849dd | Cat: Campaigns & Promos | Client: COEUS | Sub: COEUS | Title: Coeus 500X750 | Strategy: Visual identity and branding system developed for COEUS, focusing on strategic minimalist aesthetics.
[65] ID: 030c7757454e60e599a6ed68ce75d56d | Cat: Campaigns & Promos | Client: COEUS | Sub: COEUS | Title: Coeus 1280X640 | Strategy: Visual identity and branding system developed for COEUS, focusing on strategic minimalist aesthetics.
[66] ID: e1a31b0d34bdac8888417beb4675a6ed | Cat: Campaigns & Promos | Client: COEUS | Sub: COEUS | Title: Coeus | Strategy: Visual identity and branding system developed for COEUS, focusing on strategic minimalist aesthetics.
[67] ID: 6a9ad287ef9d2eede1eb63d3c75a0f88 | Cat: Gig Posters | Client: ChemburSOCIAL | Sub:  | Title: Chemburd+Social Circuitx | Strategy: High-contrast brutalist gig poster design created for premier nightlife venues.
[68] ID: f4599fa7e13c657701845b78a98dc0d0 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: April Calender Story | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[69] ID: ea51ad9fc44cbc8aaca540503e59585b | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_June | Title: Anti 4 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[70] ID: 647463684db5e0866f9b67f845fc461c | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_June | Title: Anti 3 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[71] ID: 7d41cfef678ae816fcb35a1063d0d270 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_June | Title: Anti 2 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[72] ID: 672d179d6e4b4e888ecd59f0e8658875 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_June | Title: Anti 1 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[73] ID: a19e6632dc86c0eb50e7f1e3abc5d9a2 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_June | Title: Anti | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[74] ID: 53ea232c4f027b95c162be46968298f5 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: 5 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[75] ID: 38ec145014ac78e4a455f8fae8a3cf94 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: 5 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[76] ID: 5fb42693c00ce2c5e286c18a3dd45a5b | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: 4 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[77] ID: b0c714425eac23adaa640c64f0e249bd | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: 4 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[78] ID: 4e2384f9929c02421ea94faa0c686c87 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: 3 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[79] ID: 5f308f727c8c2028f8e3a4cce05158d4 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: 3 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[80] ID: 0f7cdd3df13984f7550d56ce38ee62c5 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: 2 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[81] ID: 48c4d8167de5ff952b83d346b254632a | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: 2 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[82] ID: f6cfca48b3b9492ac96333d2533bf6a8 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_April | Title: 1 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[83] ID: 03515eb1878686b16813704d4427b692 | Cat: Event Calendars | Client: AntiSOCIAL Calendar | Sub: Anti_Calendar_May | Title: 1 | Strategy: Monthly event programming calendars, teaser animations, and print sunboard schedules.
[84] ID: f6fad1f945bb3b33e0b59eb5a0459675 | Cat: Brochures | Client: F. Gheewala Human Resources | Sub:  | Title: F.Gheewala KSA Corporate Profile | Strategy: Comprehensive multi-page international corporate company profile brochure, corporate layout systems, and recruitment documentation design for GCC expansion.
